"","select.static","select.additive","select.multiplicative","nonselect.static","nonselect.additive","nonselect.multiplicative","selWT.static","selWT.additive","selWT.multiplicative","nonWT.static","nonWT.additive","nonWT.multiplicative"
"1",-1.51866249208279,-0.110569775249631,1.01119647742705,-1.55981595241666,-0.2353737264357,0.929096887590199,-1.74207142239892,-0.166772195085259,1.04157824227268,-1.74207142239892,-0.166772195085259,1.04157824227268
"2",-1.77079888416755,-0.103816498532693,1.0254789932186,-1.83964722377153,-0.117152859014716,1.02663587349221,-1.4921625205975,-0.140668601928294,1.10488645516833,-1.4921625205975,-0.140668601928294,1.10488645516833
"3",-1.4729581092805,-0.0729098445273954,1.11121148154429,-1.85545351705862,-0.0451316288838233,1.04894065937113,-1.27739091540162,-0.0846234183621702,1.30292175210801,-1.27739091540162,-0.0846234183621702,1.30292175210801
"4",-2.94424701877287,-0.322116220667023,0.957935136511725,-2.10649131298109,-0.142629689268345,1.05770328308476,-1.5166833312786,-0.185372400049879,1.06548890855004,-1.5166833312786,-0.185372400049879,1.06548890855004
"5",-1.65471257085149,-0.0691030284364283,1.03778280632137,-1.94751051390259,-0.102780958699121,1.00397003038422,-1.43788838368866,-0.0589888574608253,1.25608402438592,-1.43788838368866,-0.0589888574608253,1.25608402438592
"6",-1.89628303662331,-0.0649270638363978,1.12078406902173,-2.04635092875591,-0.0759958189993802,1.03056326289302,-1.83032155899142,-0.092884250370491,1.17308460222811,-1.83032155899142,-0.092884250370491,1.17308460222811
"7",-1.66166887338747,-0.141309042931163,1.04430497666265,-1.76898214804435,-0.0809648473761526,1.01240760992956,-1.44153004640224,-0.185051015710015,1.10841829214674,-1.44153004640224,-0.185051015710015,1.10841829214674
"8",-1.44600309802647,-0.098599378242515,1.03245784683369,-2.1034659488892,-0.144013487951697,0.980508317036775,-2.86907506572682,-0.0479804414030661,1.22460708944546,-2.86907506572682,-0.0479804414030661,1.22460708944546
"9",-1.66737045421397,-0.106214001803395,1.07471433113607,-2.96469053939282,-0.278471182053335,0.872361763110485,-1.88841797948667,-0.198673372814223,1.05721122126362,-1.88841797948667,-0.198673372814223,1.05721122126362
"10",-1.67828899846819,-0.373083538823033,0.782748841827494,-2.02161912137782,-0.0949603416347039,1.00103624023109,-1.48270711931718,-0.137371403785487,1.08748332012969,-1.48270711931718,-0.137371403785487,1.08748332012969
"11",-1.58417319087313,-0.111698927718718,1.04860370842248,-2.01167750543792,-0.0321378452286036,1.07529747319212,-1.46930146606734,-0.161609956198542,1.10563576609677,-1.46930146606734,-0.161609956198542,1.10563576609677
"12",-1.67056201524615,-0.21182304150765,0.957230808037836,-2.0101998011325,-0.0429502897962848,1.05946645496431,-1.38419910735086,-0.291525139774815,1.02428590210344,-1.38419910735086,-0.291525139774815,1.02428590210344
"13",-2.03027112699907,-0.134084601059121,0.992737677128259,-2.0269333943491,-0.0693073002054641,1.00961658695414,-1.44276658482711,-0.120302180763964,1.16186862867607,-1.44276658482711,-0.120302180763964,1.16186862867607
"14",-2.16444451088868,-0.167715816282081,0.934383316229008,-1.9837886824771,-0.124794775619645,1.01006509421329,-1.7946404289687,-0.0613384025781161,1.12763026230754,-1.7946404289687,-0.0613384025781161,1.12763026230754
"15",-2.05718508390407,-0.140805984549703,1.01308909172524,-2.25201539050675,-0.219413994277028,0.899363868684817,-1.44255864142123,-0.198540738558859,1.08000496295091,-1.44255864142123,-0.198540738558859,1.08000496295091
