"freqCutoff","fracPossibleCodon","fracSNV","fracPossibleAA","fracReachableAA"
1e-07,0.662698412698413,0.998498498498498,0.93018018018018,0.998931623931624
1.25892541179417e-07,0.654011154011154,0.998498498498498,0.926319176319176,0.998931623931624
1.58489319246111e-07,0.653260403260403,0.998498498498498,0.925997425997426,0.998931623931624
1.99526231496888e-07,0.653045903045903,0.998498498498498,0.925997425997426,0.998931623931624
2.51188643150958e-07,0.642857142857143,0.998498498498498,0.921492921492922,0.998931623931624
3.16227766016838e-07,0.632668382668383,0.998498498498498,0.918275418275418,0.998931623931624
3.98107170553497e-07,0.608751608751609,0.998498498498498,0.905405405405405,0.998931623931624
5.01187233627272e-07,0.605641355641356,0.998498498498498,0.904761904761905,0.998931623931624
6.30957344480193e-07,0.595559845559846,0.998498498498498,0.8996138996139,0.998931623931624
7.94328234724282e-07,0.577112827112827,0.997747747747748,0.891570141570142,0.997863247863248
1e-06,0.571321321321321,0.997747747747748,0.88963963963964,0.997863247863248
1.25892541179417e-06,0.554375804375804,0.997747747747748,0.878700128700129,0.997863247863248
1.58489319246111e-06,0.537752037752038,0.997747747747748,0.86969111969112,0.997863247863248
1.99526231496888e-06,0.523595023595024,0.997747747747748,0.859395109395109,0.997863247863248
2.51188643150958e-06,0.505469755469755,0.997747747747748,0.846203346203346,0.997863247863248
3.16227766016838e-06,0.488631488631489,0.997747747747748,0.831081081081081,0.997863247863248
3.98107170553497e-06,0.46986271986272,0.997747747747748,0.817889317889318,0.997863247863248
5.01187233627272e-06,0.451093951093951,0.997747747747748,0.798584298584299,0.997863247863248
6.30957344480193e-06,0.431038181038181,0.996996996996997,0.776061776061776,0.997863247863248
7.94328234724282e-06,0.408086658086658,0.996246246246246,0.752574002574003,0.997863247863248
1e-05,0.385564135564136,0.995495495495496,0.726190476190476,0.996794871794872
1.25892541179417e-05,0.35993135993136,0.994744744744745,0.696911196911197,0.996794871794872
1.58489319246111e-05,0.334942084942085,0.990990990990991,0.668918918918919,0.995726495726496
1.99526231496888e-05,0.30973830973831,0.985735735735736,0.632882882882883,0.99465811965812
2.51188643150958e-05,0.288288288288288,0.976726726726727,0.604568854568855,0.988247863247863
3.16227766016838e-05,0.265658515658516,0.968468468468468,0.573037323037323,0.983974358974359
3.98107170553497e-05,0.243564993564994,0.958708708708709,0.539253539253539,0.976495726495726
5.01187233627273e-05,0.22029172029172,0.946696696696697,0.504826254826255,0.97008547008547
6.30957344480194e-05,0.198198198198198,0.93018018018018,0.46975546975547,0.957264957264957
7.94328234724282e-05,0.181681681681682,0.915915915915916,0.434684684684685,0.942307692307692
1e-04,0.163770913770914,0.883633633633634,0.403796653796654,0.918803418803419
0.000125892541179417,0.148434148434148,0.847597597597598,0.376126126126126,0.891025641025641
0.000158489319246111,0.134491634491634,0.803303303303303,0.346203346203346,0.854700854700855
0.000199526231496888,0.12044187044187,0.755255255255255,0.315637065637066,0.80448717948718
0.000251188643150958,0.108108108108108,0.704204204204204,0.284427284427284,0.742521367521368
0.000316227766016838,0.095023595023595,0.632882882882883,0.261583011583012,0.681623931623932
0.000398107170553497,0.0823680823680824,0.554804804804805,0.234555984555985,0.610042735042735
0.000501187233627273,0.0702488202488202,0.478978978978979,0.207850707850708,0.533119658119658
0.000630957344480194,0.0625268125268125,0.427177177177177,0.184684684684685,0.462606837606838
0.000794328234724282,0.0542685542685543,0.371621621621622,0.163127413127413,0.395299145299145
0.001,0.0474045474045474,0.324324324324324,0.143178893178893,0.335470085470085
0.00125892541179417,0.0402187902187902,0.274024024024024,0.12033462033462,0.259615384615385
0.00158489319246111,0.0357142857142857,0.243243243243243,0.107786357786358,0.223290598290598
0.00199526231496888,0.0302445302445302,0.205705705705706,0.0949163449163449,0.188034188034188
0.00251188643150958,0.0262762762762763,0.177927927927928,0.0817245817245817,0.16025641025641
0.00316227766016838,0.0214500214500215,0.145645645645646,0.0688545688545689,0.134615384615385
0.00398107170553498,0.0139425139425139,0.0953453453453453,0.0498712998712999,0.0886752136752137
0.00501187233627272,0.00782925782925783,0.0548048048048048,0.0318532818532819,0.0512820512820513
0.00630957344480194,0.00343200343200343,0.024024024024024,0.0154440154440154,0.0213675213675214
0.00794328234724282,0.00160875160875161,0.0112612612612613,0.00579150579150579,0.00641025641025641
0.01,0.000429000429000429,0.003003003003003,0.00193050193050193,0.00106837606837607
