"freqCutoff","fracPossibleCodon","fracSNV","fracPossibleAA","fracReachableAA"
1e-07,0.612874779541446,0.938888888888889,0.958730158730159,0.994570135746606
1.25892541179417e-07,0.612257495590829,0.938888888888889,0.958465608465608,0.994570135746606
1.58489319246111e-07,0.611640211640212,0.938271604938272,0.958201058201058,0.994570135746606
1.99526231496888e-07,0.611022927689594,0.938271604938272,0.958201058201058,0.994570135746606
2.51188643150958e-07,0.588007054673721,0.938271604938272,0.952910052910053,0.994570135746606
3.16227766016838e-07,0.573985890652557,0.937654320987654,0.951058201058201,0.994570135746606
3.98107170553497e-07,0.566049382716049,0.937037037037037,0.950793650793651,0.994570135746606
5.01187233627272e-07,0.555996472663139,0.935185185185185,0.948677248677249,0.994570135746606
6.30957344480193e-07,0.547530864197531,0.933950617283951,0.946296296296296,0.994570135746606
7.94328234724282e-07,0.536772486772487,0.932716049382716,0.941534391534392,0.993665158371041
1e-06,0.527954144620811,0.92962962962963,0.937566137566138,0.990950226244344
1.25892541179417e-06,0.520634920634921,0.924074074074074,0.935185185185185,0.990045248868778
1.58489319246111e-06,0.512698412698413,0.915432098765432,0.931746031746032,0.989140271493213
1.99526231496888e-06,0.504232804232804,0.908641975308642,0.925661375661376,0.987330316742081
2.51188643150958e-06,0.497354497354497,0.903086419753086,0.921428571428571,0.98552036199095
3.16227766016838e-06,0.488271604938272,0.892592592592593,0.912433862433862,0.983710407239819
3.98107170553497e-06,0.478659611992945,0.882098765432099,0.905026455026455,0.983710407239819
5.01187233627272e-06,0.464462081128748,0.865432098765432,0.888359788359788,0.979185520361991
6.30957344480193e-06,0.452116402116402,0.854320987654321,0.875132275132275,0.973755656108597
7.94328234724282e-06,0.436772486772487,0.833950617283951,0.86005291005291,0.969230769230769
1e-05,0.421340388007055,0.81358024691358,0.843915343915344,0.961990950226244
1.25892541179417e-05,0.402910052910053,0.788888888888889,0.821428571428571,0.952036199095023
1.58489319246111e-05,0.384126984126984,0.767901234567901,0.8,0.942986425339366
1.99526231496888e-05,0.358906525573192,0.737037037037037,0.771164021164021,0.931221719457014
2.51188643150958e-05,0.334038800705467,0.711111111111111,0.734656084656085,0.915837104072398
3.16227766016838e-05,0.304585537918871,0.678395061728395,0.694179894179894,0.88868778280543
3.98107170553497e-05,0.276278659611993,0.653086419753086,0.650793650793651,0.857013574660633
5.01187233627273e-05,0.245326278659612,0.61358024691358,0.599470899470899,0.816289592760181
6.30957344480194e-05,0.213844797178131,0.582098765432099,0.543386243386243,0.771945701357466
7.94328234724282e-05,0.185626102292769,0.55,0.485714285714286,0.720361990950226
1e-04,0.160846560846561,0.512345679012346,0.433068783068783,0.67420814479638
0.000125892541179417,0.137389770723104,0.466666666666667,0.374338624338624,0.615384615384615
0.000158489319246111,0.113844797178131,0.411111111111111,0.324867724867725,0.552941176470588
0.000199526231496888,0.091710758377425,0.339506172839506,0.273809523809524,0.477828054298643
0.000251188643150958,0.0709876543209877,0.261111111111111,0.223809523809524,0.394570135746606
0.000316227766016838,0.0501763668430335,0.180864197530864,0.175396825396825,0.304977375565611
0.000398107170553497,0.0357142857142857,0.124691358024691,0.132539682539683,0.215384615384615
0.000501187233627273,0.0251322751322751,0.0888888888888889,0.0976190476190476,0.154751131221719
0.000630957344480194,0.0174603174603175,0.0611111111111111,0.0698412698412698,0.104072398190045
0.000794328234724282,0.0130511463844797,0.0425925925925926,0.0497354497354497,0.0705882352941176
0.001,0.00899470899470899,0.0314814814814815,0.0354497354497354,0.048868778280543
0.00125892541179417,0.00590828924162257,0.0222222222222222,0.0235449735449735,0.0334841628959276
0.00158489319246111,0.00379188712522046,0.0141975308641975,0.0161375661375661,0.0226244343891403
0.00199526231496888,0.00264550264550265,0.00987654320987654,0.0105820105820106,0.0144796380090498
0.00251188643150958,0.0017636684303351,0.00617283950617284,0.00740740740740741,0.0081447963800905
0.00316227766016838,0.00141093474426808,0.00493827160493827,0.00555555555555556,0.00542986425339366
0.00398107170553498,0.00114638447971781,0.0037037037037037,0.00423280423280423,0.00452488687782805
0.00501187233627272,0.000881834215167548,0.00246913580246914,0.00317460317460317,0.00361990950226244
0.00630957344480194,0.000529100529100529,0.000617283950617284,0.00158730158730159,0.000904977375565611
0.00794328234724282,0.000529100529100529,0.000617283950617284,0.00158730158730159,0.000904977375565611
0.01,8.81834215167549e-05,0.000617283950617284,0.000264550264550265,0
