"freqCutoff","fracPossibleCodon","fracSNV","fracPossibleAA","fracReachableAA"
1e-07,0.646345717774289,0.936507936507937,0.970957613814757,0.992963940193492
1.25892541179417e-07,0.645909645909646,0.935897435897436,0.970957613814757,0.992963940193492
1.58489319246111e-07,0.645124716553288,0.935897435897436,0.970957613814757,0.992963940193492
1.99526231496888e-07,0.638234781091924,0.935897435897436,0.969911041339613,0.992963940193492
2.51188643150958e-07,0.598465027036456,0.934676434676435,0.967556253270539,0.992963940193492
3.16227766016838e-07,0.593406593406593,0.932844932844933,0.965986394557823,0.992963940193492
3.98107170553497e-07,0.586952729809873,0.931013431013431,0.965463108320251,0.992963940193492
5.01187233627272e-07,0.569858712715856,0.926739926739927,0.964416535845107,0.992963940193492
6.30957344480193e-07,0.559654631083202,0.926739926739927,0.962323390894819,0.992084432717678
7.94328234724282e-07,0.551805337519623,0.925518925518926,0.960753532182104,0.992084432717678
1e-06,0.544479330193616,0.921245421245421,0.957875457875458,0.991204925241865
1.25892541179417e-06,0.533664747950462,0.913308913308913,0.95447409733124,0.988566402814424
1.58489319246111e-06,0.527559741845456,0.910866910866911,0.951072736787023,0.985927880386983
1.99526231496888e-06,0.519972091400663,0.904151404151404,0.946624803767661,0.98504837291117
2.51188643150958e-06,0.511425082853654,0.896214896214896,0.940607012035584,0.981530343007916
3.16227766016838e-06,0.501657073085645,0.888278388278388,0.930664573521716,0.978891820580475
3.98107170553497e-06,0.490319204604919,0.88034188034188,0.919675562532705,0.975373790677221
5.01187233627272e-06,0.477585906157335,0.866910866910867,0.905808477237049,0.973614775725594
6.30957344480193e-06,0.465114250828537,0.85042735042735,0.889586603872318,0.969217238346526
7.94328234724282e-06,0.447496947496948,0.827838827838828,0.872318158032444,0.96042216358839
1e-05,0.427960927960928,0.798534798534799,0.85112506541078,0.948988566402814
1.25892541179417e-05,0.405808477237049,0.761294261294261,0.820251177394035,0.93051890941073
1.58489319246111e-05,0.378772021629165,0.731990231990232,0.786499215070644,0.91820580474934
1.99526231496888e-05,0.35304378161521,0.693528693528694,0.753270538984825,0.905013192612137
2.51188643150958e-05,0.324960753532182,0.665445665445665,0.710884353741497,0.881266490765171
3.16227766016838e-05,0.296877725449154,0.625763125763126,0.667974882260597,0.84872471416007
3.98107170553497e-05,0.267922553636839,0.596459096459096,0.617739403453689,0.814423922603342
5.01187233627273e-05,0.236961451247166,0.564713064713065,0.563840920983778,0.777484608619173
6.30957344480194e-05,0.209576138147567,0.534188034188034,0.518576661433804,0.736147757255937
7.94328234724282e-05,0.18402232687947,0.507936507936508,0.474882260596546,0.6948109058927
1e-04,0.15864294435723,0.482295482295482,0.418367346938776,0.636763412489006
0.000125892541179417,0.133612419326705,0.454212454212454,0.364207221350078,0.587510993843448
0.000158489319246111,0.113291470434328,0.423687423687424,0.317373103087389,0.531222515391381
0.000199526231496888,0.0966335252049538,0.388278388278388,0.278126635269492,0.491644678979771
0.000251188643150958,0.0752660038374324,0.321733821733822,0.231030873888017,0.434476693051891
0.000316227766016838,0.0555555555555556,0.241758241758242,0.181841967556253,0.348284960422164
0.000398107170553497,0.0397697540554683,0.178266178266178,0.145473574045003,0.275285839929639
0.000501187233627273,0.0265131693703122,0.120879120879121,0.11119832548404,0.205804749340369
0.000630957344480194,0.0163963021105878,0.072039072039072,0.076399790685505,0.133685136323659
0.000794328234724282,0.00889586603872318,0.0390720390720391,0.0476190476190476,0.0765171503957784
0.001,0.00523286237571952,0.0201465201465201,0.0282574568288854,0.0430958663148637
0.00125892541179417,0.00340136054421769,0.0115995115995116,0.0154369440083726,0.0281442392260334
0.00158489319246111,0.00174428745857317,0.00427350427350427,0.00889586603872318,0.0158311345646438
0.00199526231496888,0.000872143729286586,0.00183150183150183,0.00340136054421769,0.00703605980650836
0.00251188643150958,0.000523286237571952,0.000610500610500611,0.00235478806907378,0.00527704485488127
0.00316227766016838,0.000174428745857317,0.000610500610500611,0.00130821559392988,0.00263852242744063
0.00398107170553498,0.000174428745857317,0.000610500610500611,0.000784929356357928,0.000879507475813544
0.00501187233627272,8.72143729286586e-05,0.000610500610500611,0.000261643118785976,0.000879507475813544
0.00630957344480194,8.72143729286586e-05,0.000610500610500611,0.000261643118785976,0.000879507475813544
0.00794328234724282,0,0,0,0
0.01,0,0,0,0
