"","select.static","select.additive","select.multiplicative","nonselect.static","nonselect.additive","nonselect.multiplicative","selWT.static","selWT.additive","selWT.multiplicative","nonWT.static","nonWT.additive","nonWT.multiplicative"
"1",-2.16896542311008,-0.164419408565158,0.986038138731864,-1.98610007591367,-0.260440454578649,0.916562961266232,-1.36238557001462,-0.157007922377901,1.10138020542049,-1.36238557001462,-0.157007922377901,1.10138020542049
"2",-2.01230800273215,-0.141696281817807,1.0348029082556,-2.03618717608947,-0.128700715113751,1.0276014917321,-1.62011207507125,-0.153367698017497,1.01001412509659,-1.62011207507125,-0.153367698017497,1.01001412509659
"3",-1.94377848753662,0.101126274761837,1.02720822513851,-1.70676938749593,-0.143699194626981,1.07151289243911,-1.251808705064,-0.205718110073283,1.79981703844885,-1.251808705064,-0.205718110073283,1.79981703844885
"4",-1.60153896229814,-0.146349188927338,1.01360311455461,-1.69631244705625,-0.13944536077076,1.03126883225083,-1.32682469668188,-0.0799785907121258,1.20812682689939,-1.32682469668188,-0.0799785907121258,1.20812682689939
"5",-1.54381818147862,-0.176205223885699,1.04105149404829,-1.73531868423983,-0.115082077113511,1.10396821681823,-1.2356551999375,-0.206431428774118,1.11167017778368,-1.2356551999375,-0.206431428774118,1.11167017778368
"6",-1.60667609621027,-0.123671376980205,1.0724286749313,-2.32474841619979,-0.130873288384812,1.10573103203262,-1.73836415518848,-0.118077475072814,1.12210713371983,-1.73836415518848,-0.118077475072814,1.12210713371983
"7",-1.54789721856139,-0.141422090111757,1.03769333944244,-1.66509480054804,-0.148312765547158,1.09820421618569,-1.11912913986288,-0.0988444098887896,1.41919586557105,-1.11912913986288,-0.0988444098887896,1.41919586557105
"8",-2.23882321601751,-0.233331272793972,0.964925495539317,-1.67608209552919,-0.167645177522174,1.06972931005542,-1.39276658391797,-0.0854301251547678,1.18758218642763,-1.39276658391797,-0.0854301251547678,1.18758218642763
"9",-1.70501865125792,-0.15878049993931,0.967772484659289,-1.35803513141606,-0.124235287294418,0.995864391135479,-1.34525168492631,-0.124753897581189,1.39322085155761,-1.34525168492631,-0.124753897581189,1.39322085155761
"10",-1.97338502130185,-0.269351927487362,0.959549464987839,-1.41711698213079,-0.0634218214531683,1.02767036071579,-1.29476081249956,-0.112494560588821,1.22230072689547,-1.29476081249956,-0.112494560588821,1.22230072689547
"11",-1.58826110752948,-0.155871086501184,1.04410855971394,-1.36661741329486,-0.0502819756481244,1.14081349419211,-1.24757153998988,-0.0832810067766291,1.19617119394861,-1.24757153998988,-0.0832810067766291,1.19617119394861
"12",-2.4265634498572,-0.213864906298666,0.953454049614262,-1.42583897539884,-0.0973704519841491,0.996559627586667,-1.33414996240243,-0.0672233981029723,1.24762684978954,-1.33414996240243,-0.0672233981029723,1.24762684978954
"13",-1.98365787535785,-0.10013336170109,1.06689927072058,-2.09527780986965,-0.115747618100813,0.946679196904697,-1.36092128910026,-0.0568051116374673,1.28652474368025,-1.36092128910026,-0.0568051116374673,1.28652474368025
"14",-1.7471265430257,-0.162837007493106,1.01320578814355,-1.81297127694127,-0.194428174046194,1.01518732634489,-2.00699680201866,-0.063615223013386,1.00315998536766,-2.00699680201866,-0.063615223013386,1.00315998536766
"15",-2.01065172600839,-0.115425493395657,1.01222496540972,-1.87800064366642,-0.105205277032633,1.08146160783495,-2.44101320423255,-0.0892115855700822,1.08914296846479,-2.44101320423255,-0.0892115855700822,1.08914296846479
"16",-2.00107025412441,-0.1604998717363,1.04748325447099,-1.6983331755147,-0.112329414797368,1.07355054712019,-1.34431058500669,-0.0792584999619038,1.13659442805504,-1.34431058500669,-0.0792584999619038,1.13659442805504
"17",-1.86676960918247,-0.134044515901428,1.06444816758674,-1.77002039656738,-0.128479309195503,1.05086184294706,-2.21600512121955,-0.102357621842402,1.06699349144484,-2.21600512121955,-0.102357621842402,1.06699349144484
"18",-1.7097010094455,-0.18076238226715,1.02010200429932,-1.67597815527815,-0.121655727889896,1.10547926764401,-1.16397581094172,-0.175851109492278,2.04962118148651,-1.16397581094172,-0.175851109492278,2.04962118148651
"19",-2.03727409123814,0.00509507337833237,1.16355233950243,-1.49429000120093,0.0209573005665795,1.23334899296593,-1.74047793911791,-0.299076583615522,1.00078295812736,-1.74047793911791,-0.299076583615522,1.00078295812736
