"","select.static","select.additive","select.multiplicative","nonselect.static","nonselect.additive","nonselect.multiplicative","selWT.static","selWT.additive","selWT.multiplicative","nonWT.static","nonWT.additive","nonWT.multiplicative"
"1",-1.48563413358927,-0.050964946420112,0.981023336426927,-1.54200836098007,-0.0772627601964468,0.991542194440991,-1.57102630207707,-0.0952402073968382,1.21223836343529,-1.57102630207707,-0.0952402073968382,1.21223836343529
"2",-1.42344568852074,-0.0527635502409346,0.986229512776417,-1.86710019083624,-0.127720107071019,0.961033738620451,-1.94521165480793,-0.114657871431201,1.13194873665604,-1.94521165480793,-0.114657871431201,1.13194873665604
"3",-2.22428696933579,-0.0834204239924534,1.08823532995803,-1.7903365659343,-0.0494040100443893,0.797099042735627,-1.46137832593178,-0.117900509999752,1.14230398295028,-1.46137832593178,-0.117900509999752,1.14230398295028
"4",-1.9215953347694,-0.0225183607794632,0.973826225541788,-1.87344129631886,-0.085637597063986,0.807797298543316,-2.23049776500654,-0.113163470438552,1.10455758428125,-2.23049776500654,-0.113163470438552,1.10455758428125
"5",-1.99501693964577,-0.0693005342886422,0.707033013372448,-1.98416996597611,-0.107590666071112,0.859597704913168,-1.62810256986368,-0.0908947080899168,1.20936784722342,-1.62810256986368,-0.0908947080899168,1.20936784722342
"6",-1.81549061007942,-0.150772653597056,0.798869931374222,-1.63755653166834,-0.113891809442704,1.02633931768358,-1.62513250916184,-0.10196041478394,1.13180674108434,-1.62513250916184,-0.10196041478394,1.13180674108434
"7",-1.6675048528619,-0.045432128986213,1.06433876407391,-1.55767254207146,-0.0553737196401381,0.932772101406599,-1.43614559040992,-0.101972795987206,1.23033489976113,-1.43614559040992,-0.101972795987206,1.23033489976113
"8",-1.54959417272161,-0.0736253509325267,0.957976574426526,-1.57307148181638,-0.172442276083738,0.897202407169484,-1.72340708819391,-0.130302187082703,1.15439508325618,-1.72340708819391,-0.130302187082703,1.15439508325618
"9",-1.50265351537573,-0.0843877197589965,1.02576305350367,-2.13364266470427,-0.125134626476476,0.928670889579593,-1.50677230016074,-0.116905676737818,1.13954070454387,-1.50677230016074,-0.116905676737818,1.13954070454387
"10",-1.48293378862819,-0.00720321822246573,1.05973509964462,-1.46659332859233,-0.0635393407976607,0.979208390896567,-1.54335793627157,-0.0856924266912138,1.14124411916266,-1.54335793627157,-0.0856924266912138,1.14124411916266
"11",-1.73278050642261,-0.0482436615450716,1.00956788137355,NA,NA,NA,-1.57610282649665,-0.0904462730093676,1.17794992396863,-1.57610282649665,-0.0904462730093676,1.17794992396863
"12",-2.16115627311002,-0.0687506288438257,0.7603468703308,-1.22053249550064,-0.0947702498401182,1.01177015431007,-0.951905150197375,-0.0208667716902021,0.858762273747801,-0.951905150197375,-0.0208667716902021,0.858762273747801
"13",-0.42797797532272,-0.503235213588689,4.34331528573146,-1.73209332756506,-0.115756092073181,0.996218253312572,-1.37337401678533,-0.137486409347039,1.27940774326256,-1.37337401678533,-0.137486409347039,1.27940774326256
"14",-2.04384028676867,-0.117899595063361,0.909291607189339,-1.79843093141109,-0.164013360431654,0.983481193573852,-1.77105456452152,-0.0626769292760007,1.15636592921326,-1.77105456452152,-0.0626769292760007,1.15636592921326
"15",-2.00766669810789,-0.0933878852172735,0.867737692678087,-1.93113101617129,-0.0480811634230125,0.972249062966221,-1.78580274555745,-0.022262321605955,0.882301771362242,-1.78580274555745,-0.022262321605955,0.882301771362242
