"freqCutoff","fracPossibleCodon","fracSNV","fracPossibleAA","fracReachableAA"
1e-07,0.63208530231431,0.938083121289228,0.955870592511814,0.994833948339483
1.25892541179417e-07,0.631818732582091,0.937404580152672,0.955797891675754,0.994587945879459
1.58489319246111e-07,0.629468072216164,0.936726039016115,0.955361686659397,0.994587945879459
1.99526231496888e-07,0.61885375015146,0.936556403731976,0.953762268266085,0.994341943419434
2.51188643150958e-07,0.595783351508542,0.935538592027142,0.949691021446747,0.993849938499385
3.16227766016838e-07,0.581388585968739,0.934690415606446,0.944965467102872,0.993357933579336
3.98107170553497e-07,0.574239670422876,0.933842239185751,0.944020356234097,0.993111931119311
5.01187233627272e-07,0.560571913243669,0.932994062765055,0.941330425299891,0.992373923739237
6.30957344480193e-07,0.548043135829395,0.930449533502969,0.938276990185387,0.991881918819188
7.94328234724282e-07,0.541015388343633,0.928074639525021,0.936314067611777,0.991635916359164
1e-06,0.53217011995638,0.924681933842239,0.933406034169393,0.990159901599016
1.25892541179417e-06,0.52460923300618,0.920949957591179,0.931152308251545,0.989421894218942
1.58489319246111e-06,0.516418272143463,0.915351993214589,0.928098873137041,0.989175891758918
1.99526231496888e-06,0.5093905246577,0.909245122985581,0.924391130498001,0.988437884378844
2.51188643150958e-06,0.500981461286805,0.900424088210348,0.919810977826245,0.986223862238622
3.16227766016838e-06,0.493250939052466,0.888888888888889,0.914649218466012,0.984009840098401
3.98107170553497e-06,0.485568884042166,0.876505513146735,0.909778262450018,0.98179581795818
5.01187233627272e-06,0.475972373682297,0.859881255301103,0.902290076335878,0.978843788437884
6.30957344480193e-06,0.465164182721435,0.842239185750636,0.891384950926936,0.973923739237392
7.94328234724282e-06,0.453289712831698,0.82069550466497,0.880625227190113,0.967281672816728
1e-05,0.439985459832788,0.798812553011026,0.866448564158488,0.962607626076261
1.25892541179417e-05,0.424354780079971,0.777099236641221,0.848564158487823,0.954489544895449
1.58489319246111e-05,0.405404095480431,0.748770144189992,0.82828062522719,0.942927429274293
1.99526231496888e-05,0.384126984126984,0.722815945716709,0.801526717557252,0.931119311193112
2.51188643150958e-05,0.360959651035987,0.691942324003393,0.769320247182843,0.911685116851168
3.16227766016838e-05,0.334254210590088,0.656827820186599,0.732679025808797,0.888806888068881
3.98107170553497e-05,0.305537380346541,0.629007633587786,0.69058524173028,0.863222632226322
5.01187233627273e-05,0.27543923421786,0.596946564885496,0.641148673209742,0.826814268142681
6.30957344480194e-05,0.246625469526233,0.560644614079729,0.591348600508906,0.78769987699877
7.94328234724282e-05,0.215509511692718,0.519083969465649,0.537331879316612,0.742189421894219
1e-04,0.184538955531322,0.47175572519084,0.482006543075245,0.693726937269373
0.000125892541179417,0.153931903550224,0.417642069550467,0.422101054162123,0.630750307503075
0.000158489319246111,0.123761056585484,0.34910941475827,0.359432933478735,0.555719557195572
0.000199526231496888,0.0977099236641221,0.283290924512299,0.30003635041803,0.474784747847478
0.000251188643150958,0.0755846358899794,0.22273112807464,0.2453653217012,0.392127921279213
0.000316227766016838,0.0565127832303405,0.169974554707379,0.197091966557615,0.312423124231242
0.000398107170553497,0.0404701320731855,0.119762510602205,0.148673209741912,0.233456334563346
0.000501187233627273,0.0286441294074882,0.0814249363867685,0.110650672482734,0.165805658056581
0.000630957344480194,0.0198957954683146,0.0529262086513995,0.0808433296982915,0.118081180811808
0.000794328234724282,0.0130619168787108,0.0346055979643766,0.0564885496183206,0.0846248462484625
0.001,0.00882103477523325,0.0237489397794741,0.0390403489640131,0.0592865928659287
0.00125892541179417,0.00593723494486853,0.0164546225614928,0.0252998909487459,0.038130381303813
0.00158489319246111,0.00395007875923906,0.0105173876166243,0.0157033805888768,0.0218942189421894
0.00199526231496888,0.00302920150248395,0.00814249363867684,0.0117775354416576,0.0169741697416974
0.00251188643150958,0.00205985702168908,0.00474978795589483,0.00785169029443839,0.00934809348093481
0.00316227766016838,0.00128438143705319,0.00237489397794741,0.00458015267175573,0.0046740467404674
0.00398107170553498,0.000799709196655762,0.00169635284139101,0.00290803344238459,0.0029520295202952
0.00501187233627272,0.000630073912516661,0.00135708227311281,0.00225372591784806,0.0027060270602706
0.00630957344480194,0.00046043862837756,0.00118744698897371,0.00145401672119229,0.0019680196801968
0.00794328234724282,0.000339270568278202,0.000848176420695505,0.00101781170483461,0.0014760147601476
0.01,0.000218102508178844,0.000508905852417303,0.000799709196655762,0.001230012300123
